lat,lon,X,Y,Z,timeStamp,acc,a,b,c,obsDistanceLeft1,obsDistanceLeft2,obsDistanceRight1,obsDistanceRight2,obsClosePassEvent,XL,YL,ZL,RX,RY,RZ,RC,timeDiff,vX,vY,vZ,dX,dY,dZ,lat_interpolate,lon_interpolate,dLat,dLon,lat_calculateDiff,lon_calculateDiff
52.56201333333333,13.09115,-1.0117667,-4.202333,-8.176733,1679502408000.0,2.0,-0.043298695,0.42619237,-0.15654144,,,,,,-0.28364956,-0.11224913,0.15670721,-0.29584303,0.40150538,-0.091131546,0.18267816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56201333333333,13.09115,0.0,0.0,0.0,0.0
52.56201543790489,13.091140079518098,-1.3169,-4.4368668,-8.1075325,1679502408237.0,,-1.0877964,0.9048761,-0.2739142,,,,,,-0.29849115,-0.09318013,0.08074187,-0.3702063,0.5058296,-0.112484835,0.19989833,0.237,0.043406222872088396,0.06086008143177731,0.01644101431155914,0.01028727482068495,0.014423839299331222,0.003896520391839516,52.562015308333336,13.0911399275,1.2957155298273046e-07,1.5201809803982136e-07,1.295715534865849e-07,1.5201809766551833e-07
52.5620179494116,13.091129882731781,-1.3175334,-4.474733,-8.1721,1679502408488.0,,0.1638689,-0.19197975,0.070743404,,,,,,-0.3285284,-0.13592428,0.009464296,-0.3760554,0.5015089,-0.11204419,0.20219722,0.251,0.08592258635147579,0.12873522128036471,0.055870596404747994,0.03185384399490537,0.046736379840702766,0.017920040089431263,52.5620174,13.09112926,4.1984004335318783e-07,4.7071368216235316e-07,5.494115953297296e-07,6.227317808082944e-07
52.562020898495646,13.09112021157786,-1.0682334,-4.2546,-8.0092,1679502408740.0,,1.5732747,-1.3834265,0.40927258,,,,,,-0.2694209,-0.09585688,0.21570511,-0.2912909,0.4015993,-0.09353019,0.19286901,0.252,0.15256467995978978,0.189615968225591,0.0563581080635235,0.0703001433447724,0.0945196038335517,0.03212228332143918,52.562019500000005,13.091118550000001,8.49084047726016e-07,1.0388460783516595e-06,1.3984956410695304e-06,1.6615778584139207e-06
52.56202439633264,13.091111413400863,-0.94743335,-4.1292667,-8.119733,1679502408990.0,,0.7843059,-0.97628564,0.3611777,,,,,,-0.27499592,-0.0655866,0.20298114,-0.28766015,0.40756977,-0.09486938,0.18248545,0.25,0.21329390702311096,0.25176889369101174,0.05196138560519671,0.12362362010055014,0.15746182725630464,0.04511262972273836,52.56202158333333,13.091107925000001,1.4145036608972632e-06,1.826823003796476e-06,2.8129993054903935e-06,3.4884008623947693e-06
52.562028611507166,13.09110360319135,-0.9631666,-4.123767,-8.131066,1679502409241.0,,0.026911804,0.058086865,0.06554756,,,,,,-0.28405017,-0.0780367,0.20430562,-0.28540882,0.40958297,-0.09502507,0.18150873,0.251,0.277821273637372,0.3144461587634257,0.04987484035148181,0.1933567597835305,0.2363878131059245,0.05763121465096029,52.562023675000006,13.091097257500001,2.123507854926409e-06,2.8572904859749377e-06,4.936507160380188e-06,6.34569134838614e-06
52.562033692402345,13.091096962465631,-1.1106,-4.1701665,-8.015966,1679502409494.0,,-1.2031708,1.4225953,-0.2744471,,,,,,-0.25810677,-0.05014216,0.19424346,-0.27963054,0.40940636,-0.09517259,0.19186178,0.253,0.33554396452806146,0.3735820477894048,0.046515290997531475,0.27824938280913003,0.3309040711966439,0.06939958327333576,52.56202578333334,13.091086505,2.972561847333195e-06,4.111774283613819e-06,7.90906900505206e-06,1.045746563121952e-05
52.56203972117044,13.091091773983813,-1.3377666,-4.337333,-8.054133,1679502409745.0,,-1.1919798,1.0423661,-0.2997602,,,,,,-0.25217518,-0.039058726,0.069243476,-0.27171257,0.4121098,-0.097314596,0.20623007,0.251,0.36861850461497037,0.4277771133980235,0.06584224458162538,0.3707726274674876,0.4382761266595478,0.08592598666332373,52.562027875000005,13.0910758375,3.937101432429751e-06,5.479018181430342e-06,1.1846170437479486e-05,1.593648381259527e-05
52.56204683149524,13.0910881657699,-1.4818332,-4.493266,-8.063168,1679502409995.0,,-0.24633627,0.13749,-0.11790568,,,,,,-0.29014733,-0.10416007,0.060586754,-0.35103402,0.51747924,-0.115762636,0.20455809,0.25,0.4162513092031267,0.4853040116523003,0.09015003463662608,0.47483545476826927,0.5596021295726229,0.10846349532248024,52.56202995833334,13.0910652125,5.0269914602092e-06,7.0167860858350395e-06,1.6873161897024147e-05,2.2953269899872453e-05
52.56205192199336,13.091095000898797,-1.0336001,-4.1206,-8.261801,1679502410000.0,2.0,0.09778844,-0.21835865,0.20303757,,,,,,-0.26271054,-0.12989007,0.111712314,-0.2721688,0.41920355,-0.09769991,0.17837334,0.005,0.4174348974464006,0.4862433959386382,0.09056940739830535,0.4769226292555013,0.5620333465523161,0.10891634235947177,52.56203000000001,13.091065,5.048831453927893e-06,7.047628896607327e-06,2.192199335127043e-05,3.0000898796345155e-05
52.56206138291009,13.09109343979775,-1.3759668,-4.354467,-8.026068,1679502410248.0,,1.0756727,-1.1476152,0.3526512,,,,,,-0.28591472,-0.106774464,0.11774167,-0.2767505,0.40865037,-0.098009475,0.20358501,0.248,0.4705895677092783,0.5425711699105168,0.1147225536124496,0.5936288420474023,0.6965909966901243,0.13736753565535928,52.56203320333334,13.091054666666667,6.257583391067896e-06,8.77223228664487e-06,2.8179576744946644e-05,3.87731310826922e-05
52.56207218667651,13.091093802517845,-1.1306999,-4.1294003,-8.110735,1679502410497.0,,1.1518785,-1.186251,0.31454837,,,,,,-0.2612639,-0.09570754,0.17854474,-0.2737967,0.4153244,-0.095782295,0.18571472,0.249,0.5341653384452252,0.5945681436017541,0.12028657510819657,0.7266360113202633,0.844638464446961,0.16731889285730023,52.56203641958334,13.091044291666668,7.587516421679481e-06,1.0737720095462058e-05,3.576709316632787e-05,4.951085117710363e-05
52.56208925633945,13.091088755675711,-1.0327667,-4.146867,-8.099899,1679502410999.0,,-0.18611777,0.5230482,-0.30722088,,,,,,-0.20831181,-0.14012559,0.23525156,-0.270769,0.41886395,-0.09740518,0.1815081,0.502,0.6918252495343504,0.6648079501271074,0.11396107202372892,1.0739322865865073,1.1783720554107688,0.22452735101321214,52.562042903750005,13.091023375,1.0585496277548293e-05,1.5869824533551485e-05,4.635258944318821e-05,6.538067571071338e-05
52.562104740729794,13.091096952727623,-1.2974666,-4.2492337,-8.019533,1679502411251.0,,-1.0560884,1.4818811,-0.31201705,,,,,,-0.29641387,-0.0879602,0.19052288,-0.271375,0.41444737,-0.09899603,0.19517656,0.252,0.7592149616291461,0.7261803590038819,0.12221034776106345,1.265254456917052,1.361369505879747,0.2553243586490001,52.56204615875001,13.091012875,1.2229390344660174e-05,1.8697051911290154e-05,5.8581979786254124e-05,8.407772762275556e-05
52.56212198011325,13.091108205772514,-1.4702666,-4.432034,-8.1488,1679502411501.0,,-0.84132695,0.90700775,-0.18345323,,,,,,-0.33190826,-0.094676785,0.027917368,-0.34588486,0.5226273,-0.118185304,0.19876464,0.25,0.8046549513349587,0.7929627714224898,0.15334637366314038,1.4664181947507917,1.5596101987353694,0.2936609520647852,52.56204938791667,13.091002458333334,1.4010216787926669e-05,2.16697115583009e-05,7.259219657385074e-05,0.00010574743918034812
52.56214118462303,13.091122560160517,-1.4206666,-4.4061337,-8.140433,1679502411752.0,,0.30295762,-0.26432186,0.27178258,,,,,,-0.35822824,-0.08864543,0.023594713,-0.30910906,0.46812057,-0.10800007,0.20217553,0.251,0.8473766005967716,0.8658126907070424,0.19185150255917693,1.6791097215005815,1.776929184102837,0.3418156792071386,52.562052630000004,13.090992,1.5962426448776093e-05,2.481272133633538e-05,8.85546230264822e-05,0.00013056016051748998
52.56216258044021,13.091140275586424,-1.1518667,-4.0943003,-8.0006,1679502412004.0,,1.4263256,-1.2422062,0.6525446,,,,,,-0.40020826,0.0032465497,0.23626526,-0.23662084,0.36011496,-0.08861161,0.18682668,0.252,0.9137515239208014,0.9622910576576484,0.19360100432387609,1.9093751055286234,2.0194265306325643,0.3906031322967554,52.56205588500001,13.0909815,1.8140817176236915e-05,2.8215425906285273e-05,0.00010669544020203148,0.0001587755864242979
52.56218634610735,13.091161632212504,-0.95560014,-4.0076,-8.2394,1679502412255.0,,0.8673062,-0.840794,0.4886757,,,,,,-0.42180157,-0.012878263,0.13843794,-0.231198,0.36789152,-0.091992214,0.17101426,0.251,0.9704582610047128,1.056766409115972,0.2104989999523366,2.1529601290408062,2.2846748993206734,0.4434383812847919,52.56205912708334,13.090971041666666,2.05235838130399e-05,3.181495941470618e-05,0.0001272190240158011,0.0001905905458379209
52.56221273066256,13.091186772910024,-0.9397333,-4.0429,-8.225433,1679502412508.0,,0.052358113,0.04276579,0.08619771,,,,,,-0.40206063,-0.032364734,0.13376047,-0.21767838,0.37520614,-0.09885175,0.16859786,0.253,1.034435514765828,1.1409388618162315,0.23002918855395665,2.4146723142765607,2.5733324313601798,0.501635765988943,52.562062395000005,13.0909605,2.3116638542112988e-05,3.568236418565508e-05,0.00015033566255340247,0.0002262729100248606
52.56224184694096,13.09121597989159,-1.0822334,-4.1839666,-8.129667,1679502412761.0,,-1.0703437,1.1570743,-0.44844124,,,,,,-0.3331184,-0.059375994,0.07038145,-0.19918258,0.38119227,-0.10498549,0.17907396,0.253,1.0876306970669432,1.2019527021873855,0.2630937031119895,2.6898428806344974,2.8774264650135883,0.5681984728762763,52.56206566291667,13.090949958333333,2.584836172451712e-05,3.974864823346549e-05,0.0001761840242835433,0.0002660215582572789
52.562273757003084,13.09124951078178,-1.3247001,-4.3527,-8.104199,1679502413011.0,,-1.1819878,1.3627764,-0.45896617,,,,,,-0.3348336,-0.05886547,0.028916247,-0.22095649,0.4430457,-0.117481,0.19036195,0.25,1.1365816213710154,1.2612648535838829,0.2999963147165403,2.973988285977251,3.192742678409559,0.6431975515554114,52.56206889208334,13.090939541666668,2.868089546276005e-05,4.394755685653969e-05,0.00020486491974480714,0.0003099691151131623
52.562308691574465,13.091287385133175,-1.3914336,-4.4317675,-8.113667,1679502413263.0,,-0.007860378,0.066080466,0.0019984012,,,,,,-0.3469267,-0.077183805,0.019278796,-0.26447308,0.49360552,-0.12681249,0.18820919,0.252,1.1887567314757985,1.3246471276042389,0.33612920558415343,3.273554982309152,3.5265537545658274,0.7279021113626181,52.56207214708334,13.090929041666667,3.1679571379955664e-05,4.837435139257241e-05,0.0002365444911234249,0.0003583434665070939
52.562346757596394,13.091329944194118,-1.3522002,-4.375133,-8.060234,1679502413514.0,,1.2612576,-1.2776445,0.7419398,,,,,,-0.39995334,-0.09471169,0.07940302,-0.19975635,0.37910327,-0.10693161,0.18811251,0.251,1.2517946515929002,1.394539274574875,0.3828353742347034,3.58775543985897,3.8765831124841212,0.8239937902955285,52.56207538916667,13.090918583333334,3.482393860104112e-05,5.30173942773297e-05,0.0002713684297219743,0.0004113608607845265
52.562394527589284,13.09137293865883,-1.3106668,-4.3071,-8.015467,1679502414000.0,2.1,1.1941113,-1.0153211,0.5282441,,,,,,-0.42175066,-0.09640632,0.17542781,-0.18983403,0.38585433,-0.107596,0.18060632,0.486,1.4240296961755703,1.5274486977291402,0.44723546735262726,4.279833872200298,4.6189231795804835,1.0413502274289055,52.56208166666667,13.090898333333334,4.149249288391085e-05,6.324446471312999e-05,0.0003128609226124013,0.000474605325496924
